,control_category,control_code,control_name,document,control_text_corrected,full_control_text
59,identity and access management (idm),IDM-07,access to cloud customer data,c5,"Basic criterion: The cloud customer is informed by the cloud service provider whenever internal or external employees of the cloud service provider read or write to the cloud customer’s data processed, stored, or transmitted in the cloud service or have accessed it without the prior consent of the cloud customer. The information is provided whenever data of the cloud customer is/was not encrypted, the encryption is/was disabled for access, or the contractual agreements do not explicitly exclude such information. The information contains the cause, time, duration, type, and scope of the access. The information is sufficiently detailed to enable subject matter experts of the cloud customer to assess the risks of the access. The information is provided in accordance with the contractual agreements or within 72 hours after the access.

Additional criterion: Access to the data processed, stored, or transmitted in the cloud service by internal or external employees of the cloud service provider requires the prior consent of an authorized department of the cloud customer, provided that the cloud customer's data is not encrypted, encryption is disabled for access, or contractual agreements do not explicitly exclude such consent. For the consent, the cloud customer's department is provided with meaningful information about the cause, time, duration, type, and scope of the access supporting assessing the risks associated with the access.

Supplementary information about the criterion: Subject matter experts, in the sense of this basic criterion, are personnel from e.g. IT, compliance, or internal audit.

Complementary customer criterion notes on continuous auditing feasibility: Yes, a continuous audit of the notifications carried out only appears practical if the accesses mentioned are also logged and classified automatically. The content of the notifications can only be audited if the content is specified by the cloud service provider according to a specific scheme. Then, a comparison and plausibility check can take place. A continuous audit would test all notifications after they have been received and thus check whether the process has been executed correctly in all cases.","Identity and access management (idm). Access to cloud customer data. Basic criterion: The cloud customer is informed by the cloud service provider whenever internal or external employees of the cloud service provider read or write to the cloud customer’s data processed, stored, or transmitted in the cloud service or have accessed it without the prior consent of the cloud customer. The information is provided whenever data of the cloud customer is/was not encrypted, the encryption is/was disabled for access, or the contractual agreements do not explicitly exclude such information. The information contains the cause, time, duration, type, and scope of the access. The information is sufficiently detailed to enable subject matter experts of the cloud customer to assess the risks of the access. The information is provided in accordance with the contractual agreements or within 72 hours after the access.

Additional criterion: Access to the data processed, stored, or transmitted in the cloud service by internal or external employees of the cloud service provider requires the prior consent of an authorized department of the cloud customer, provided that the cloud customer's data is not encrypted, encryption is disabled for access, or contractual agreements do not explicitly exclude such consent. For the consent, the cloud customer's department is provided with meaningful information about the cause, time, duration, type, and scope of the access supporting assessing the risks associated with the access.

Supplementary information about the criterion: Subject matter experts, in the sense of this basic criterion, are personnel from e.g. IT, compliance, or internal audit.

Complementary customer criterion notes on continuous auditing feasibility: Yes, a continuous audit of the notifications carried out only appears practical if the accesses mentioned are also logged and classified automatically. The content of the notifications can only be audited if the content is specified by the cloud service provider according to a specific scheme. Then, a comparison and plausibility check can take place. A continuous audit would test all notifications after they have been received and thus check whether the process has been executed correctly in all cases."
60,identity and access management (idm),IDM-08,confidentiality of authentication information,c5,"Basic criterion: The allocation of authentication information to access system components used to provide the cloud service to internal and external users of the cloud provider and system components that are involved in automated authorization processes of the cloud provider is done in an orderly manner that ensures the confidentiality of the information. If passwords are used as authentication information, their confidentiality is ensured by the following procedures, as far as technically possible: 

- Users can initially create the password themselves or must change an initial password when logging on to the system component for the first time. 
- An initial password loses its validity after a maximum of 14 days. 
- When creating passwords, compliance with the password specifications (cf. idm-09) is enforced as far as technically possible. 
- The user is informed about changing or resetting the password. 
- The server-side storage takes place using cryptographically strong hash functions. 
- Deviations are evaluated by means of a risk analysis and mitigating measures derived from this are implemented. 

Additional criterion: 
The users sign a declaration in which they assure that they treat personal (or shared) authentication information confidentially and keep it exclusively for themselves (within the members of the group). 

Supplementary information about the criterion: 
Argon2i, for example, is suitable for using a password hash function. Insofar as this is legally binding, declarations can be signed using an electronic signature. 

Complementary customer criterion: 
Notes on continuous auditing feasibility: Yes, if the implementation is enforced by appropriate system configuration (automated control), the status or the last change of the configuration can be checked regularly.","Identity and access management (idm). Confidentiality of authentication information. Basic criterion: The allocation of authentication information to access system components used to provide the cloud service to internal and external users of the cloud provider and system components that are involved in automated authorization processes of the cloud provider is done in an orderly manner that ensures the confidentiality of the information. If passwords are used as authentication information, their confidentiality is ensured by the following procedures, as far as technically possible: 

- Users can initially create the password themselves or must change an initial password when logging on to the system component for the first time. 
- An initial password loses its validity after a maximum of 14 days. 
- When creating passwords, compliance with the password specifications (cf. idm-09) is enforced as far as technically possible. 
- The user is informed about changing or resetting the password. 
- The server-side storage takes place using cryptographically strong hash functions. 
- Deviations are evaluated by means of a risk analysis and mitigating measures derived from this are implemented. 

Additional criterion: 
The users sign a declaration in which they assure that they treat personal (or shared) authentication information confidentially and keep it exclusively for themselves (within the members of the group). 

Supplementary information about the criterion: 
Argon2i, for example, is suitable for using a password hash function. Insofar as this is legally binding, declarations can be signed using an electronic signature. 

Complementary customer criterion: 
Notes on continuous auditing feasibility: Yes, if the implementation is enforced by appropriate system configuration (automated control), the status or the last change of the configuration can be checked regularly."
61,identity and access management (idm),IDM-09,authentication mechanisms,c5,"Basic criterion: System components in the cloud service provider's area of responsibility that are used to provide the cloud service, authenticate users of the cloud service provider's internal and external employees, as well as system components that are involved in the cloud service provider's automated authorization processes. Access to the production environment requires two-factor or multi-factor authentication. Within the production environment, user authentication takes place through passwords, digitally signed certificates, or procedures that achieve at least an equivalent level of security. If digitally signed certificates are used, administration is carried out in accordance with the guideline for key management (cf. cry-01). The password requirements are derived from a risk assessment and documented, communicated, and provided in a password policy according to sp-01. Compliance with the requirements is enforced by the configuration of the system components, as far as technically possible. Additional criterion: Access to the non-production environment requires two-factor or multi-factor authentication. Within the non-production environment, users are authenticated using passwords, digitally signed certificates, or procedures that provide at least an equivalent level of security.

Supplementary information about the criterion: Complementary customer criterion notes on continuous auditing feasibility: Yes, if the implementation is enforced by appropriate system configuration (automated control), the status of the configuration or its last change can be checked regularly.

5.8 Cryptography and Key Management (CRY)

Objective: Ensure appropriate and effective use of cryptography to protect the confidentiality, authenticity, or integrity of information.","Identity and access management (idm). Authentication mechanisms. Basic criterion: System components in the cloud service provider's area of responsibility that are used to provide the cloud service, authenticate users of the cloud service provider's internal and external employees, as well as system components that are involved in the cloud service provider's automated authorization processes. Access to the production environment requires two-factor or multi-factor authentication. Within the production environment, user authentication takes place through passwords, digitally signed certificates, or procedures that achieve at least an equivalent level of security. If digitally signed certificates are used, administration is carried out in accordance with the guideline for key management (cf. cry-01). The password requirements are derived from a risk assessment and documented, communicated, and provided in a password policy according to sp-01. Compliance with the requirements is enforced by the configuration of the system components, as far as technically possible. Additional criterion: Access to the non-production environment requires two-factor or multi-factor authentication. Within the non-production environment, users are authenticated using passwords, digitally signed certificates, or procedures that provide at least an equivalent level of security.

Supplementary information about the criterion: Complementary customer criterion notes on continuous auditing feasibility: Yes, if the implementation is enforced by appropriate system configuration (automated control), the status of the configuration or its last change can be checked regularly.

5.8 Cryptography and Key Management (CRY)

Objective: Ensure appropriate and effective use of cryptography to protect the confidentiality, authenticity, or integrity of information."
62,cryptography and key management (cry),CRY-01,policy for the use of encryption procedures and key management,c5,"Basic criterion: Policies and instructions with technical and organizational safeguards for encryption procedures and key management are documented, communicated, and provided according to SP-01. The following aspects are described:

- Usage of strong encryption procedures and secure network protocols that correspond to the state-of-the-art.
- Risk-based provisions for the use of encryption aligned with the information classification schemes (cf. AM-06). This includes considering the communication channel, type, strength, and quality of the encryption.
- Requirements for secure generation, storage, archiving, retrieval, distribution, withdrawal, and deletion of encryption keys.
- Consideration of relevant legal and regulatory obligations and requirements.

Additional criterion: 

Supplementary information about the criterion:

The state-of-the-art of strong encryption procedures and secure network protocols is specified in the following BSI technical guidelines valid at the given time:

- BSI TR-02102-1: Cryptographic mechanisms - Recommendations and key lengths.
- BSI TR-02102-2: Cryptographic mechanisms - Use of Transport Layer Security (TLS).
- BSI TR-02102-3: Cryptographic mechanisms - Use of Internet Protocol Security (IPSec) and Internet Key Exchange (IKEv2).
- BSI TR-02102-4: Cryptographic mechanisms - Use of Secure Shell (SSH).

Complementary customer criterion:

Notes on continuous auditing feasibility: Partially, a policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically.","Cryptography and key management (cry). Policy for the use of encryption procedures and key management. Basic criterion: Policies and instructions with technical and organizational safeguards for encryption procedures and key management are documented, communicated, and provided according to SP-01. The following aspects are described:

- Usage of strong encryption procedures and secure network protocols that correspond to the state-of-the-art.
- Risk-based provisions for the use of encryption aligned with the information classification schemes (cf. AM-06). This includes considering the communication channel, type, strength, and quality of the encryption.
- Requirements for secure generation, storage, archiving, retrieval, distribution, withdrawal, and deletion of encryption keys.
- Consideration of relevant legal and regulatory obligations and requirements.

Additional criterion: 

Supplementary information about the criterion:

The state-of-the-art of strong encryption procedures and secure network protocols is specified in the following BSI technical guidelines valid at the given time:

- BSI TR-02102-1: Cryptographic mechanisms - Recommendations and key lengths.
- BSI TR-02102-2: Cryptographic mechanisms - Use of Transport Layer Security (TLS).
- BSI TR-02102-3: Cryptographic mechanisms - Use of Internet Protocol Security (IPSec) and Internet Key Exchange (IKEv2).
- BSI TR-02102-4: Cryptographic mechanisms - Use of Secure Shell (SSH).

Complementary customer criterion:

Notes on continuous auditing feasibility: Partially, a policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
63,cryptography and key management (cry),CRY-02,encryption of data for transmission (transport encryption),c5,"Basic criterion: The cloud service provider has established procedures and technical measures for strong encryption and authentication for the transmission of data of cloud customers over public networks.

Additional criterion: The cloud service provider has established procedures and technical measures for strong encryption and authentication for the transmission of all data.

Supplementary information about the criterion: When transmitting data with normal protection requirements within the cloud service provider's infrastructure, encryption is not mandatory, provided that the data is not transmitted via public networks. In this case, the non-public environment of the cloud service provider can generally be deemed trusted. The protocols TLS 1.2 and TLS 1.3 are currently regarded as strong, state-of-the-art transport encryptions, in each case in combination with perfect forward secrecy. The specific configuration should comply with the recommendations of the (current) version of the BSI Technical Guideline TR-02102-2 ""Cryptographic Procedures: Recommendations and Key Lengths - Part 2: Use of Transport Layer Security (TLS)"". Generally, the use of wildcard certificates is not considered a secure procedure.

The basic criterion for the transmission of cloud customers' data relates to, for example, the sending of electronic messages via public networks.

Complementary customer criterion: Cloud customers ensure, through suitable controls for those parts of the cloud service under their responsibility, that their data is transmitted over encrypted connections in accordance with the respective protection requirements.

Notes on continuous auditing feasibility: Partially, the procedures and technical measures for encrypting data during transmission are configured centrally. This configuration rarely changes. Therefore, a continuous audit would not be sensible, as only changes to this configuration would have to be checked. However, the system status can be audited continuously. This also applies to the additional criterion.","Cryptography and key management (cry). Encryption of data for transmission (transport encryption). Basic criterion: The cloud service provider has established procedures and technical measures for strong encryption and authentication for the transmission of data of cloud customers over public networks.

Additional criterion: The cloud service provider has established procedures and technical measures for strong encryption and authentication for the transmission of all data.

Supplementary information about the criterion: When transmitting data with normal protection requirements within the cloud service provider's infrastructure, encryption is not mandatory, provided that the data is not transmitted via public networks. In this case, the non-public environment of the cloud service provider can generally be deemed trusted. The protocols TLS 1.2 and TLS 1.3 are currently regarded as strong, state-of-the-art transport encryptions, in each case in combination with perfect forward secrecy. The specific configuration should comply with the recommendations of the (current) version of the BSI Technical Guideline TR-02102-2 ""Cryptographic Procedures: Recommendations and Key Lengths - Part 2: Use of Transport Layer Security (TLS)"". Generally, the use of wildcard certificates is not considered a secure procedure.

The basic criterion for the transmission of cloud customers' data relates to, for example, the sending of electronic messages via public networks.

Complementary customer criterion: Cloud customers ensure, through suitable controls for those parts of the cloud service under their responsibility, that their data is transmitted over encrypted connections in accordance with the respective protection requirements.

Notes on continuous auditing feasibility: Partially, the procedures and technical measures for encrypting data during transmission are configured centrally. This configuration rarely changes. Therefore, a continuous audit would not be sensible, as only changes to this configuration would have to be checked. However, the system status can be audited continuously. This also applies to the additional criterion."
64,cryptography and key management (cry),CRY-03,encryption of sensitive data for storage,c5,"Basic criterion: The cloud service provider has established procedures and technical safeguards to encrypt cloud customers’ data during storage. The private keys used for encryption are known only to the cloud customer, in accordance with applicable legal and regulatory obligations and requirements. Exceptions follow a specified procedure. The procedures for the use of private keys, including any exceptions, must be contractually agreed with the cloud customer.

Additional criterion: The private keys used for encryption are known to the customer exclusively and without exception, in accordance with applicable legal and regulatory obligations and requirements.

Supplementary information about the criterion: An exception to the requirement that keys are known only to the cloud customers may be the use of a master key by the cloud service provider. If the cloud service provider establishes a procedure to use a master key, the cloud service provider must perform sample-based checks regarding the suitability and effectiveness of the procedure, on a regular basis. This criterion does not apply to data that cannot be encrypted for the provision of the cloud service for functional reasons.

Complementary customer criterion: Through suitable controls, cloud customers ensure that for parts of the cloud service under their responsibility (e.g., virtual machines within an IaaS solution), their data is encrypted during storage in accordance with the respective protection requirements.

Notes on continuous auditing feasibility: Partially, the encryption of data of cloud customers is configured centrally; therefore, it is only suitable for continuous auditing to a limited extent. Exceptions to the encryption of data, according to a specified procedure, and the coordination of this with cloud customers should be documented and approved. This, too, is only suitable to a limited extent for continuous auditing, as these exceptions are decided on a case-by-case basis and do not occur at a high enough frequency. In a continuous audit, the system status can be queried to determine whether the encryption is active and whether the approved exceptions are being adhered to.","Cryptography and key management (cry). Encryption of sensitive data for storage. Basic criterion: The cloud service provider has established procedures and technical safeguards to encrypt cloud customers’ data during storage. The private keys used for encryption are known only to the cloud customer, in accordance with applicable legal and regulatory obligations and requirements. Exceptions follow a specified procedure. The procedures for the use of private keys, including any exceptions, must be contractually agreed with the cloud customer.

Additional criterion: The private keys used for encryption are known to the customer exclusively and without exception, in accordance with applicable legal and regulatory obligations and requirements.

Supplementary information about the criterion: An exception to the requirement that keys are known only to the cloud customers may be the use of a master key by the cloud service provider. If the cloud service provider establishes a procedure to use a master key, the cloud service provider must perform sample-based checks regarding the suitability and effectiveness of the procedure, on a regular basis. This criterion does not apply to data that cannot be encrypted for the provision of the cloud service for functional reasons.

Complementary customer criterion: Through suitable controls, cloud customers ensure that for parts of the cloud service under their responsibility (e.g., virtual machines within an IaaS solution), their data is encrypted during storage in accordance with the respective protection requirements.

Notes on continuous auditing feasibility: Partially, the encryption of data of cloud customers is configured centrally; therefore, it is only suitable for continuous auditing to a limited extent. Exceptions to the encryption of data, according to a specified procedure, and the coordination of this with cloud customers should be documented and approved. This, too, is only suitable to a limited extent for continuous auditing, as these exceptions are decided on a case-by-case basis and do not occur at a high enough frequency. In a continuous audit, the system status can be queried to determine whether the encryption is active and whether the approved exceptions are being adhered to."
65,cryptography and key management (cry),CRY-04,secure key management,c5,"Basic criterion: Procedures and technical safeguards for secure key management in the area of responsibility of the cloud service provider include at least the following aspects: 
- Generation of keys for different cryptographic systems and applications 
- Issuing and obtaining public-key certificates 
- Provisioning and activation of the keys 
- Secure storage of keys (separation of key management system from application and middleware level), including description of how authorized users get access 
- Changing or updating cryptographic keys, including policies defining under which conditions and in which manner the changes and/or updates are to be realized 
- Handling of compromised keys 
- Withdrawal and deletion of keys 
- If pre-shared keys are used, the specific provisions relating to the safe use of this procedure are specified separately

Additional criterion: Supplementary information about the criterion
  
Keys should be withdrawn or deleted, e.g. in the event of compromise or employee changes. The cloud service provider protects the keys which are created and inserted into the cloud service by the cloud customers according to the same criteria as the keys created by the cloud service provider.

Complementary customer criterion: Notes on continuous auditing feasibility
  
Partially for procedures and technical measures for key management to take into account the required aspects, these aspects must be implemented in the corresponding configuration. These configurations are rarely changed, and only these changes would have to be audited continuously. However, the system status could be reviewed and, in the event of irregularities, indicated and documented.

5.9 Communication security (COS) 

Objective: Ensure the protection of information in networks and the corresponding information processing systems.","Cryptography and key management (cry). Secure key management. Basic criterion: Procedures and technical safeguards for secure key management in the area of responsibility of the cloud service provider include at least the following aspects: 
- Generation of keys for different cryptographic systems and applications 
- Issuing and obtaining public-key certificates 
- Provisioning and activation of the keys 
- Secure storage of keys (separation of key management system from application and middleware level), including description of how authorized users get access 
- Changing or updating cryptographic keys, including policies defining under which conditions and in which manner the changes and/or updates are to be realized 
- Handling of compromised keys 
- Withdrawal and deletion of keys 
- If pre-shared keys are used, the specific provisions relating to the safe use of this procedure are specified separately

Additional criterion: Supplementary information about the criterion
  
Keys should be withdrawn or deleted, e.g. in the event of compromise or employee changes. The cloud service provider protects the keys which are created and inserted into the cloud service by the cloud customers according to the same criteria as the keys created by the cloud service provider.

Complementary customer criterion: Notes on continuous auditing feasibility
  
Partially for procedures and technical measures for key management to take into account the required aspects, these aspects must be implemented in the corresponding configuration. These configurations are rarely changed, and only these changes would have to be audited continuously. However, the system status could be reviewed and, in the event of irregularities, indicated and documented.

5.9 Communication security (COS) 

Objective: Ensure the protection of information in networks and the corresponding information processing systems."
66,communication security (cos),COS-01,technical safeguards,c5,"Basic criterion: Based on the results of a risk analysis carried out according to ISO-06, the cloud service provider has implemented technical safeguards that are suitable to promptly detect and respond to network-based attacks. These attacks are based on irregular incoming or outgoing traffic patterns and/or distributed denial of service (DDoS) attacks. The corresponding technical protection measures are documented, communicated, and provided in accordance with SP-01. 

Additional criterion: Technical measures ensure that no unknown (physical or virtual) devices join the cloud service provider's (physical or virtual) network. This can be achieved through measures such as MACsec according to IEEE 802.1x:2010. 

Supplementary information about the criterion: Network-based attacks can include MAC spoofing and ARP poisoning attacks. 

Complementary customer criterion: Cloud customers are responsible for ensuring suitable controls for parts of the cloud service under their responsibility (e.g., virtual machines within an IaaS solution). They should detect and respond to network-based attacks based on anomalous inbound and outbound traffic patterns, such as MAC spoofing, ARP poisoning attacks, and DDoS attacks, in a timely manner. 

Notes on continuous auditing feasibility: The technical protective measures are suitable for continuous auditing, but they are rarely changed. However, the data fed into the overall SIEM system and the detection of correlating events are suitable for continuous auditing. This data can be evaluated automatically and continuously, as can the monitoring of correlating events.","Communication security (cos). Technical safeguards. Basic criterion: Based on the results of a risk analysis carried out according to ISO-06, the cloud service provider has implemented technical safeguards that are suitable to promptly detect and respond to network-based attacks. These attacks are based on irregular incoming or outgoing traffic patterns and/or distributed denial of service (DDoS) attacks. The corresponding technical protection measures are documented, communicated, and provided in accordance with SP-01. 

Additional criterion: Technical measures ensure that no unknown (physical or virtual) devices join the cloud service provider's (physical or virtual) network. This can be achieved through measures such as MACsec according to IEEE 802.1x:2010. 

Supplementary information about the criterion: Network-based attacks can include MAC spoofing and ARP poisoning attacks. 

Complementary customer criterion: Cloud customers are responsible for ensuring suitable controls for parts of the cloud service under their responsibility (e.g., virtual machines within an IaaS solution). They should detect and respond to network-based attacks based on anomalous inbound and outbound traffic patterns, such as MAC spoofing, ARP poisoning attacks, and DDoS attacks, in a timely manner. 

Notes on continuous auditing feasibility: The technical protective measures are suitable for continuous auditing, but they are rarely changed. However, the data fed into the overall SIEM system and the detection of correlating events are suitable for continuous auditing. This data can be evaluated automatically and continuously, as can the monitoring of correlating events."
67,communication security (cos),COS-02,security requirements for connections in the cloud service provider’s network,c5,"Basic criterion: Specific security requirements are designed, published, and provided for establishing connections within the cloud service provider's network. The security requirements define, for the cloud service provider's area of responsibility, in which cases the security zones are to be separated and in which cases cloud customers are to be logically or physically segregated. They also define which communication relationships and network and application protocols are permitted in each case. Additionally, the security requirements detail how the data traffic for administration and monitoring is segregated from each other on the network level, which internal, cross-location communication is permitted, and which cross-network communication is allowed.

Additional criterion: Management procedures (cf. OIS-06) and follow-up measures (cf. OPS-18) are defined and tracked. At specified intervals, the business justification for using all services, protocols, and ports is reviewed. 

Supplementary information: The review also includes the justifications for compensatory measures for the use of protocols that are considered insecure. Cross-location communication can be realized, for example, for individual regions or data centers via WAN, LAN, VPN, RAS.

Complementary customer criterion: Additional criterion notes on continuous auditing feasibility: No. The required security requirements are centrally documented and rarely changed. Continuous auditing is not practical.","Communication security (cos). Security requirements for connections in the cloud service provider’s network. Basic criterion: Specific security requirements are designed, published, and provided for establishing connections within the cloud service provider's network. The security requirements define, for the cloud service provider's area of responsibility, in which cases the security zones are to be separated and in which cases cloud customers are to be logically or physically segregated. They also define which communication relationships and network and application protocols are permitted in each case. Additionally, the security requirements detail how the data traffic for administration and monitoring is segregated from each other on the network level, which internal, cross-location communication is permitted, and which cross-network communication is allowed.

Additional criterion: Management procedures (cf. OIS-06) and follow-up measures (cf. OPS-18) are defined and tracked. At specified intervals, the business justification for using all services, protocols, and ports is reviewed. 

Supplementary information: The review also includes the justifications for compensatory measures for the use of protocols that are considered insecure. Cross-location communication can be realized, for example, for individual regions or data centers via WAN, LAN, VPN, RAS.

Complementary customer criterion: Additional criterion notes on continuous auditing feasibility: No. The required security requirements are centrally documented and rarely changed. Continuous auditing is not practical."
68,communication security (cos),COS-03,monitoring of connections in the cloud service provider’s network,c5,"Basic criterion: A distinction is made between trusted and untrusted networks. Based on a risk assessment, these are separated into different security zones for internal and external network areas (and DMZ, if applicable). Physical and virtualized network environments are designed and configured to restrict and monitor the established connection to trusted or untrusted networks according to the defined security requirements. The entirety of the conception and configuration undertaken to monitor the connections mentioned is assessed in a risk-oriented manner, at least annually, with regard to the resulting security requirements. Identified vulnerabilities and deviations are subject to risk assessment in accordance with the risk supplementary information about the criterion. The review of the security requirements depends on the measures implemented to design the networks. For example, monitoring and reviewing firewall rules or log files for abnormalities, as well as visual inspections of physical network components for changes.

Complementary customer criterion: Cloud customers ensure through suitable controls that the virtual networks within the cloud service for which they are responsible are designed, configured, and documented in accordance with their network security requirements (e.g. logical segmentation of the cloud customer's organizational units).

Notes on continuous auditing feasibility: Yes, if the business justification and the regular review of the monitoring concept are documented in a standardized way, these processes can be evaluated automatically. Thus, a continuous audit can be conducted. The separation of the networks is suitable for continuous auditing as well since the status of the separation can be continuously audited here.","Communication security (cos). Monitoring of connections in the cloud service provider’s network. Basic criterion: A distinction is made between trusted and untrusted networks. Based on a risk assessment, these are separated into different security zones for internal and external network areas (and DMZ, if applicable). Physical and virtualized network environments are designed and configured to restrict and monitor the established connection to trusted or untrusted networks according to the defined security requirements. The entirety of the conception and configuration undertaken to monitor the connections mentioned is assessed in a risk-oriented manner, at least annually, with regard to the resulting security requirements. Identified vulnerabilities and deviations are subject to risk assessment in accordance with the risk supplementary information about the criterion. The review of the security requirements depends on the measures implemented to design the networks. For example, monitoring and reviewing firewall rules or log files for abnormalities, as well as visual inspections of physical network components for changes.

Complementary customer criterion: Cloud customers ensure through suitable controls that the virtual networks within the cloud service for which they are responsible are designed, configured, and documented in accordance with their network security requirements (e.g. logical segmentation of the cloud customer's organizational units).

Notes on continuous auditing feasibility: Yes, if the business justification and the regular review of the monitoring concept are documented in a standardized way, these processes can be evaluated automatically. Thus, a continuous audit can be conducted. The separation of the networks is suitable for continuous auditing as well since the status of the separation can be continuously audited here."
69,communication security (cos),COS-04,cross-network access,c5,"Basic criterion: Each network perimeter is controlled by security gateways. The system access authorization for cross-network access is based on a security assessment, considering the requirements of the cloud customers.

Additional criterion: Each network perimeter is controlled by redundant and highly-available security gateways.

Supplementary information about the criterion: Cross-network access refers to access from one network to another network through a defined network perimeter.

Complementary customer criterion: Cloud customers ensure, through suitable controls, that access to their virtual networks within the cloud service is controlled according to their protection needs. This is achieved by using security gateways on the perimeters of the virtual networks for which they are responsible.

Notes on continuous auditing feasibility: Yes, if the control of the network perimeters is documented (e.g., by logs), these logs can be automatically evaluated. This provides the possibility of a continuous audit for this part of the criterion. If the security evaluation for access authorizations is conducted in a standardized form by the cloud service provider, it can also be automatically evaluated. In such a case, a continuous audit for the second part of the criterion would also be possible.","Communication security (cos). Cross-network access. Basic criterion: Each network perimeter is controlled by security gateways. The system access authorization for cross-network access is based on a security assessment, considering the requirements of the cloud customers.

Additional criterion: Each network perimeter is controlled by redundant and highly-available security gateways.

Supplementary information about the criterion: Cross-network access refers to access from one network to another network through a defined network perimeter.

Complementary customer criterion: Cloud customers ensure, through suitable controls, that access to their virtual networks within the cloud service is controlled according to their protection needs. This is achieved by using security gateways on the perimeters of the virtual networks for which they are responsible.

Notes on continuous auditing feasibility: Yes, if the control of the network perimeters is documented (e.g., by logs), these logs can be automatically evaluated. This provides the possibility of a continuous audit for this part of the criterion. If the security evaluation for access authorizations is conducted in a standardized form by the cloud service provider, it can also be automatically evaluated. In such a case, a continuous audit for the second part of the criterion would also be possible."
70,communication security (cos),COS-05,networks for administration,c5,"Basic criterion: There are separate networks for the administrative management of the infrastructure and for the operation of management consoles. These networks are logically or physically separated from the cloud customer's network and protected from unauthorized access by multi-factor authentication (cf. idm-09). Networks used by the cloud service provider to migrate or create virtual machines are also physically or logically separated from other networks.

Additional criterion: Supplementary information about the criterion complementary customer criterion notes on continuous auditing feasibility: No, a continuous audit is not practical since infrastructure components and the logical and physical separation of the networks are implemented initially. A continuous audit of these components may require a system status, but it is difficult to test all aspects continuously.","Communication security (cos). Networks for administration. Basic criterion: There are separate networks for the administrative management of the infrastructure and for the operation of management consoles. These networks are logically or physically separated from the cloud customer's network and protected from unauthorized access by multi-factor authentication (cf. idm-09). Networks used by the cloud service provider to migrate or create virtual machines are also physically or logically separated from other networks.

Additional criterion: Supplementary information about the criterion complementary customer criterion notes on continuous auditing feasibility: No, a continuous audit is not practical since infrastructure components and the logical and physical separation of the networks are implemented initially. A continuous audit of these components may require a system status, but it is difficult to test all aspects continuously."
71,communication security (cos),COS-06,segregation of data traffic in jointly used network environments,c5,"Basic criterion: Data traffic of cloud customers in jointly used network environments is segregated on network level according to a documented concept to ensure the confidentiality and integrity of the data transmitted. 
Additional criterion: In the case of IaaS/PaaS, secure segregation is ensured by physically separated networks or by means of strongly encrypted VLANs. For the definition of strong encryption, the BSI technical guideline TR-02102 must be considered. 
Supplementary information about the criterion: If the suitability and effectiveness of the logical segmentation cannot be assessed with sufficient certainty (e.g. due to a complex implementation), evidence can also be provided based on audit results of expert third parties (e.g. security audits to validate the concept). The segregation of stored and processed data is subject to the criterion OPS-24. After successful authentication via an insecure communication channel (HTTP), a secure communication channel (HTTPS) is to be used. 
With IaaS/PaaS, secure segregation is ensured by physically separated networks or strong encryption of the networks. For the definition of strong encryption, the BSI technical guideline TR-02102 must be considered (cf. CRY-01). 
If the cloud service provider does not use shared network environments for cloud customers and instead uses a physical segregation, the basic criterion is not applicable. 
Complementary customer criterion: Through suitable controls, cloud customers ensure that, for parts of the cloud service under their responsibility, virtual networks are designed, configured, and documented in accordance with their network security requirements (e.g. logical segmentation of organizational units). 
Notes on continuous auditing feasibility: No. The logical segregation of cloud customer network traffic at the network level is centrally configured and rarely changed. Thus, a continuous audit is not beneficial since no highly frequented automated query can be performed to support the continuous audit.","Communication security (cos). Segregation of data traffic in jointly used network environments. Basic criterion: Data traffic of cloud customers in jointly used network environments is segregated on network level according to a documented concept to ensure the confidentiality and integrity of the data transmitted. 
Additional criterion: In the case of IaaS/PaaS, secure segregation is ensured by physically separated networks or by means of strongly encrypted VLANs. For the definition of strong encryption, the BSI technical guideline TR-02102 must be considered. 
Supplementary information about the criterion: If the suitability and effectiveness of the logical segmentation cannot be assessed with sufficient certainty (e.g. due to a complex implementation), evidence can also be provided based on audit results of expert third parties (e.g. security audits to validate the concept). The segregation of stored and processed data is subject to the criterion OPS-24. After successful authentication via an insecure communication channel (HTTP), a secure communication channel (HTTPS) is to be used. 
With IaaS/PaaS, secure segregation is ensured by physically separated networks or strong encryption of the networks. For the definition of strong encryption, the BSI technical guideline TR-02102 must be considered (cf. CRY-01). 
If the cloud service provider does not use shared network environments for cloud customers and instead uses a physical segregation, the basic criterion is not applicable. 
Complementary customer criterion: Through suitable controls, cloud customers ensure that, for parts of the cloud service under their responsibility, virtual networks are designed, configured, and documented in accordance with their network security requirements (e.g. logical segmentation of organizational units). 
Notes on continuous auditing feasibility: No. The logical segregation of cloud customer network traffic at the network level is centrally configured and rarely changed. Thus, a continuous audit is not beneficial since no highly frequented automated query can be performed to support the continuous audit."
